name,type,description,owner,location,category,volume,dataSubjects,retention,containsPII,isSensitive,isRegulated,hasBackup
"Customer CRM Database","Database","Primary customer relationship management system containing contact information, purchase history, and interaction logs","Sales Department","Salesforce Cloud","Customer Data","2.5M records","Customers, Prospects",7 years,true,true,true,true
"Employee Payroll Files","File","Payroll records including salary, tax information, and bank account details","HR Department","On-Premise File Server","Personnel Data","15K files","Employees",7 years post-employment,true,true,true,true
"Public Marketing Website","System","Company public website with product information, blog posts, and contact forms","Marketing Department","AWS CloudFront","Marketing","500GB","Public Visitors",Indefinite,false,false,false,true
"Internal SharePoint Site","System","Internal collaboration platform for documents, procedures, and team communications","IT Department","Microsoft 365","Collaboration","1TB","Employees",3 years,false,false,false,true
"Financial Data Warehouse","Database","Consolidated financial data from all business units for reporting and analytics","Finance Department","Snowflake","Financial Data","5TB","N/A",7 years,false,true,true,true
"Patient Medical Records System","Database","Electronic health records including diagnoses, treatments, medications, and test results","Medical Department","On-Premise HIPAA-Compliant Server","Healthcare Data","10M records","Patients",6 years post-treatment,true,true,true,true
"Email Archive","Cloud","Archived email communications for compliance and legal discovery","IT Department","Mimecast Cloud Archive","Communications","3TB","Employees, External Parties",7 years,true,false,true,true
"Product Images Repository","Cloud","High-resolution product photography and marketing images","Marketing Department","AWS S3","Media Assets","200GB","N/A",3 years,false,false,false,true
"API Gateway Logs","File","API access logs including timestamps, IP addresses, and request/response data","IT Department","CloudWatch Logs","System Logs","50GB/month","API Users",90 days,false,false,false,false
"Customer Support Tickets","System","Support ticket system with customer inquiries, issues, and resolution history","Support Department","Zendesk","Customer Service","500K tickets","Customers",5 years,true,true,true,true
"HR Benefits Database","Database","Employee benefits information including health insurance, 401k, and life insurance","HR Department","ADP Cloud","Benefits Data","20K records","Employees",7 years post-employment,true,true,true,true
"Security Camera Footage","File","Physical security camera recordings from all office locations","Security Department","On-Premise NVR System","Security","2TB/month","Employees, Visitors",90 days,true,false,true,true
"Product Catalog API","API","RESTful API providing product information, pricing, and availability to partners","IT Department","AWS API Gateway","Product Data","N/A","Partners, Customers",N/A,false,false,false,true
"Training Videos Library","Cloud","Employee training videos and onboarding materials","HR Department","Vimeo Enterprise","Training Content","100GB","Employees",5 years,false,false,false,true
"Backup Archives","Cloud","Encrypted backups of all production systems and databases","IT Department","AWS Glacier","Backup Data","10TB","All Business Data",7 years,true,true,true,true
"Social Media Analytics","System","Social media engagement data and analytics from all platforms","Marketing Department","Hootsuite","Analytics Data","50GB","Social Media Followers",2 years,false,false,false,false
"Vendor Contracts Repository","File","Signed contracts, NDAs, and agreements with all vendors","Legal Department","SharePoint","Legal Documents","5GB","Vendors",10 years,false,true,false,true
"Development Code Repository","System","Source code, documentation, and version control for all applications","Development Department","GitHub Enterprise","Code Assets","100GB","N/A",Indefinite,false,true,false,true
"Quality Assurance Test Data","Database","Test datasets used for QA including synthetic customer and transaction data","QA Department","On-Premise Test Environment","Test Data","500GB","Synthetic/Test",1 year,false,false,false,false
"Sales Forecasting Models","File","Excel models and data files used for sales forecasting and planning","Sales Department","OneDrive for Business","Financial Models","2GB","N/A",5 years,false,true,false,true
